,Time,Dominant Freq.,X,Y,Amplitude,Phase,,Wavelength,Amp/Wave
0,1,FALSE,240,0,7.15E-05,-1.66004465,,0.004166667,0.017160006
1,1,FALSE,97,3,7.08E-05,-0.358868802,,0.010309278,0.006869636
2,1,FALSE,266,6,7.08E-05,-0.220298665,,0.003759398,0.018831406
3,1,FALSE,94,7,7.68E-05,-2.95795439,,0.010638298,0.007216011
4,1,FALSE,91,9,7.69E-05,1.010423644,,0.010989011,0.007000011
5,1,FALSE,66,10,7.86E-05,-0.71213795,,0.015151515,0.005189708
6,1,FALSE,88,13,7.13E-05,-1.566554805,,0.011363636,0.006275856
7,1,FALSE,111,14,7.63E-05,2.601776947,,0.009009009,0.00846742
8,1,FALSE,267,16,7.37E-05,1.951454188,,0.003745318,0.0196901
9,1,FALSE,75,17,7.32E-05,1.145579917,,0.013333333,0.005489329
10,1,FALSE,92,24,7.36E-05,0.423918058,,0.010869565,0.00677187
11,1,FALSE,111,26,7.15E-05,0.370698049,,0.009009009,0.007938183
12,1,FALSE,108,28,7.45E-05,-1.969416712,,0.009259259,0.008043253
13,1,FALSE,79,30,7.16E-05,-2.935194389,,0.012658228,0.005653905
14,1,FALSE,105,30,7.22E-05,1.796549199,,0.00952381,0.007584965
15,1,FALSE,153,30,7.37E-05,2.141553848,,0.006535948,0.011274406
16,1,FALSE,76,32,8.08E-05,0.706358337,,0.013157895,0.006143304
17,1,FALSE,92,36,7.19E-05,-1.909836362,,0.010869565,0.006613912
18,1,FALSE,266,40,7.27E-05,-0.728069605,,0.003759398,0.01933345
19,1,FALSE,86,42,7.25E-05,-0.558408562,,0.011627907,0.00623806
20,1,FALSE,76,44,7.67E-05,-1.656491648,,0.013157895,0.005829473
21,1,FALSE,99,45,7.94E-05,2.48009124,,0.01010101,0.007861083
22,1,FALSE,292,50,7.79E-05,2.500124449,,0.003424658,0.022754005
23,1,FALSE,93,51,7.63E-05,-2.349265788,,0.010752688,0.007095474
24,1,FALSE,68,56,7.45E-05,-1.159688497,,0.014705882,0.005065858
25,1,FALSE,77,59,7.61E-05,-2.416416982,,0.012987013,0.005863407
26,1,FALSE,85,59,7.17E-05,0.37518232,,0.011764706,0.006097592
27,1,FALSE,92,59,7.17E-05,-0.940968093,,0.010869565,0.006595246
28,1,FALSE,91,69,7.96E-05,0.435144108,,0.010989011,0.007245526
29,1,FALSE,77,71,7.14E-05,1.34559954,,0.012987013,0.005496413
30,1,FALSE,63,73,7.28E-05,1.86063372,,0.015873016,0.004584344
31,1,FALSE,111,73,7.99E-05,1.462676887,,0.009009009,0.008865085
32,1,FALSE,86,74,7.58E-05,-0.318078181,,0.011627907,0.006519839
33,1,FALSE,85,75,7.37E-05,2.135118852,,0.011764706,0.006265162
34,1,FALSE,69,78,7.09E-05,-1.555164367,,0.014492754,0.004893214
35,1,FALSE,86,86,7.14E-05,-2.63674528,,0.011627907,0.006136271
36,1,FALSE,83,88,7.59E-05,1.276212286,,0.012048193,0.006297351
37,1,FALSE,65,90,7.47E-05,-2.6648513,,0.015384615,0.004854524
38,1,FALSE,80,90,7.58E-05,-1.376435896,,0.0125,0.006065876
39,1,FALSE,113,90,7.25E-05,-2.647599075,,0.008849558,0.008195147
40,1,FALSE,62,92,7.06E-05,1.663317192,,0.016129032,0.00437901
41,1,FALSE,102,93,7.35E-05,-1.889102072,,0.009803922,0.00749299
42,1,FALSE,262,94,7.42E-05,2.100578161,,0.003816794,0.01943844
43,1,FALSE,59,96,7.42E-05,-1.24217026,,0.016949153,0.004379099
44,1,FALSE,74,96,7.61E-05,0.192028939,,0.013513514,0.00563181
45,1,FALSE,94,100,7.76E-05,1.645302944,,0.010638298,0.00729032
46,1,FALSE,69,101,7.43E-05,-0.292292931,,0.014492754,0.005124898
47,1,FALSE,91,104,7.17E-05,-0.983990234,,0.010989011,0.0065277
48,1,FALSE,88,106,7.57E-05,3.014328701,,0.011363636,0.006664293
49,1,FALSE,63,107,7.49E-05,1.193406969,,0.015873016,0.004719261
50,1,FALSE,96,108,7.50E-05,-1.330737854,,0.010416667,0.007200854
51,1,FALSE,97,109,7.13E-05,1.816902046,,0.010309278,0.006911913
52,1,FALSE,68,111,7.83E-05,1.023257571,,0.014705882,0.005321212
53,1,FALSE,101,112,7.46E-05,-2.163744109,,0.00990099,0.007533843
54,1,FALSE,116,112,7.31E-05,-0.511942248,,0.00862069,0.008479613
55,1,FALSE,72,114,8.07E-05,3.076410357,,0.013888889,0.005813462
56,1,FALSE,62,117,7.31E-05,2.583821692,,0.016129032,0.004534311
57,1,FALSE,81,117,7.14E-05,1.810073053,,0.012345679,0.005784433
58,1,FALSE,111,119,7.09E-05,-1.390103883,,0.009009009,0.00786657
59,1,FALSE,66,120,7.27E-05,-1.681065705,,0.015151515,0.004795143
60,1,FALSE,75,123,7.58E-05,-2.908584963,,0.013333333,0.005685775
61,1,FALSE,90,123,7.48E-05,-1.264739863,,0.011111111,0.006731361
62,1,FALSE,105,123,7.10E-05,0.681193058,,0.00952381,0.007452546
63,1,FALSE,81,129,7.06E-05,-0.970593672,,0.012345679,0.005719633
64,1,FALSE,118,129,7.88E-05,1.556003021,,0.008474576,0.009301569
65,1,FALSE,89,133,8.82E-05,0.074902853,,0.011235955,0.00785075
66,1,FALSE,64,134,7.22E-05,-1.785033558,,0.015625,0.004621635
67,1,FALSE,86,135,7.11E-05,-2.470512256,,0.011627907,0.006118886
68,1,FALSE,93,145,7.51E-05,1.130523505,,0.010752688,0.006984105
69,1,FALSE,77,153,7.22E-05,1.571067923,,0.012987013,0.005559989
70,1,FALSE,273,155,7.15E-05,-2.004121932,,0.003663004,0.019506747
71,1,FALSE,94,160,7.20E-05,0.631865576,,0.010638298,0.006767211
72,1,FALSE,95,162,8.58E-05,-2.997300056,,0.010526316,0.008153466
73,1,FALSE,63,166,7.38E-05,0.218621876,,0.015873016,0.004649146
74,1,FALSE,72,169,8.11E-05,-1.249147334,,0.013888889,0.005837197
75,1,FALSE,94,172,8.29E-05,-1.587739923,,0.010638298,0.00779097
76,1,FALSE,118,175,7.36E-05,-0.938842579,,0.008474576,0.008682993
77,1,FALSE,73,176,7.80E-05,-1.420485992,,0.01369863,0.005694423
78,1,FALSE,70,178,7.76E-05,2.628773666,,0.014285714,0.005434958
79,1,FALSE,65,183,7.59E-05,2.001274355,,0.015384615,0.004934073
80,1,FALSE,96,189,7.30E-05,0.395976799,,0.010416667,0.007009632
81,1,FALSE,93,191,7.27E-05,-1.969650912,,0.010752688,0.0067582
82,1,FALSE,64,193,7.47E-05,-2.77563525,,0.015625,0.004783898
83,1,FALSE,379,195,7.12E-05,-1.561553747,,0.002638522,0.02699364
84,1,FALSE,58,199,7.33E-05,-1.262986251,,0.017241379,0.004252216
0,2,FALSE,71,5,0.000135805,-0.532812805,,0.014084507,0.009642153
1,2,FALSE,51,10,0.000138917,-3.055473004,,0.019607843,0.007084777
2,2,FALSE,75,17,0.000160281,0.64963526,,0.013333333,0.01202107
3,2,FALSE,62,23,0.00013626,-2.265204879,,0.016129032,0.00844813
4,2,FALSE,148,31,0.000132953,-2.544754971,,0.006756757,0.019677055
5,2,FALSE,74,36,0.000128723,0.854931369,,0.013513514,0.009525504
6,2,FALSE,53,39,0.000153378,1.928059432,,0.018867925,0.00812902
7,2,FALSE,56,39,0.000140771,-2.51843095,,0.017857143,0.007883151
8,2,FALSE,54,41,0.000148067,-1.791444048,,0.018518519,0.007995599
9,2,FALSE,52,50,0.000129113,2.336865706,,0.019230769,0.006713875
