,Time,Dominant,X,Y,Amplitude,Phase,PhaseVelocity,Wavelength,Amp/Wave
0,10,True,6,0,0.0005130220094972086,4.860105125466361,0.4860105125466361,0.16666666666666666,0.003078132056983252
1,20,True,6,0,0.0011706818578007083,4.645906106116968,-0.0214199019349393,0.16666666666666666,0.00702409114680425
2,30,True,6,0,0.002838763221729782,4.523329142447282,-0.012257696366968584,0.16666666666666666,0.017032579330378692
3,40,True,6,0,0.005270437258389887,4.4688316201044485,-0.005449752234283345,0.16666666666666666,0.031622623550339325
4,50,True,6,0,0.007987783010169293,4.104639703005161,-0.03641919170992871,0.16666666666666666,0.04792669806101576
5,60,True,6,0,0.01071619809781771,3.81167084418928,-0.02929688588158812,0.16666666666666666,0.06429718858690626
6,70,True,6,0,0.01528613067115246,3.734600845544188,-0.007706999864509223,0.16666666666666666,0.09171678402691477
7,80,True,6,0,0.01623563093906101,3.543233341276389,-0.019136750426779914,0.16666666666666666,0.09741378563436606
8,90,True,6,0,0.018823192348950135,3.4822620251145553,-0.006097131616183349,0.16666666666666666,0.11293915409370081
9,100,True,6,0,0.0218027377126429,3.392345610629525,-0.00899164144850304,0.16666666666666666,0.1308164262758574
10,110,True,6,0,0.024968908500526386,3.3546115317551037,-0.003773407887442115,0.16666666666666666,0.14981345100315832
11,120,True,6,0,0.029317753197593242,3.238193843345513,-0.011641768840959087,0.16666666666666666,0.17590651918555947
12,130,True,6,0,0.032473029030874,3.125843911595677,-0.0112349931749836,0.16666666666666666,0.194838174185244
13,140,True,6,0,0.03534752814087508,3.124614048400201,-0.00012298631954759108,0.16666666666666666,0.21208516884525047
14,150,True,6,0,0.03718627881504597,3.088761130938172,-0.003585291746202879,0.16666666666666666,0.22311767289027584
15,160,True,6,0,0.04066053462164518,3.085290415755771,-0.0003470715182401385,0.16666666666666666,0.24396320772987107
16,170,True,6,0,0.041848161816993204,2.951793754876783,-0.013349666087898759,0.16666666666666666,0.25108897090195925
17,180,True,6,0,0.04185677922851449,2.8283338629679737,-0.012345989190880946,0.16666666666666666,0.251140675371087
18,190,True,6,0,0.04069841766435868,2.72359549189671,-0.010473837107126372,0.16666666666666666,0.24419050598615208
19,200,True,6,0,0.04212734484441723,2.5923782522205348,-0.013121723967617526,0.16666666666666666,0.2527640690665034
20,210,True,6,0,0.041392469671236005,2.4892102287278837,-0.010316802349265108,0.16666666666666666,0.24835481802741605
21,220,True,6,0,0.04236407201015509,2.435045302760944,-0.005416492596693967,0.16666666666666666,0.25418443206093055
22,230,True,6,0,0.04325118480727662,2.430752705239447,-0.00042925975214971326,0.16666666666666666,0.25950710884365974
23,240,True,6,0,0.04260117639282236,2.391989415037652,-0.003876329020179492,0.16666666666666666,0.2556070583569342
24,250,True,6,0,0.04318639808642842,2.366949662351097,-0.0025039752686554896,0.16666666666666666,0.25911838851857055
25,260,True,6,0,0.0454273697612956,2.359471695490387,-0.0007477966860709895,0.16666666666666666,0.27256421856777363
26,270,True,6,0,0.046721264086919664,2.29724410303564,-0.006222759245474707,0.16666666666666666,0.280327584521518
27,280,True,6,0,0.04621059793370637,2.1933757179049023,-0.010386838513073782,0.16666666666666666,0.27726358760223824
28,290,True,6,0,0.04587679930599296,2.1225675832939443,-0.007080813461095792,0.16666666666666666,0.2752607958359578
29,300,True,6,0,0.04482685661007093,2.0177110387827675,-0.010485654451117687,0.16666666666666666,0.2689611396604256
30,310,True,6,0,0.0423757797508497,1.839522044691956,-0.017818899409081147,0.16666666666666666,0.2542546785050982
31,320,True,6,0,0.04106102126949111,1.7174687505907764,-0.01220532941011796,0.16666666666666666,0.24636612761694668
32,330,True,6,0,0.04241115753120969,1.6359860342766865,-0.008148271631408988,0.16666666666666666,0.25446694518725815
33,340,True,6,0,0.03895569153867806,1.4523627190176123,-0.018362331525907428,0.16666666666666666,0.23373414923206837
34,350,True,6,0,0.038107255309544036,1.347736422063836,-0.010462629695377635,0.16666666666666666,0.22864353185726422
35,360,True,6,0,0.03882666223558953,1.1657951389750838,-0.018194128308875214,0.16666666666666666,0.2329599734135372
36,370,True,6,0,0.04116542925382172,0.9837712015349211,-0.018202393744016266,0.16666666666666666,0.2469925755229303
37,380,True,6,0,0.044167029823103464,0.8846309434561215,-0.009914025807879968,0.16666666666666666,0.2650021789386208
38,390,True,6,0,0.0487891324609883,0.7430491712365761,-0.014158177221954537,0.16666666666666666,0.29273479476592984
39,400,True,6,0,0.04982175197750797,0.6725305416292375,-0.007051862960733857,0.16666666666666666,0.2989305118650478
40,410,True,6,0,0.0509212213164588,0.6008714202406867,-0.007165912138855079,0.16666666666666666,0.3055273278987528
41,420,True,6,0,0.053056254498127224,0.5516290786659822,-0.004924234157470453,0.16666666666666666,0.3183375269887634
42,430,True,6,0,0.05647299369198319,0.51040397214821,-0.004122510651777223,0.16666666666666666,0.33883796215189915
43,440,True,6,0,0.06007428345858895,0.5026188787979128,-0.00077850933502972,0.16666666666666666,0.3604457007515337
44,450,True,6,0,0.06300954843063981,0.48447628108810575,-0.0018142597709807028,0.16666666666666666,0.3780572905838389
45,460,True,6,0,0.06554942043445265,0.4042767125191419,-0.008019956856896387,0.16666666666666666,0.39329652260671594
46,470,True,6,0,0.06492797180326244,0.34703839495185657,-0.005723831756728531,0.16666666666666666,0.3895678308195747
47,480,True,6,0,0.0654611423282929,0.26701681970975627,-0.008002157524210029,0.16666666666666666,0.39276685396975747
48,490,True,6,0,0.06542564544145603,0.18339685012363693,-0.008361996958611933,0.16666666666666666,0.3925538726487362
49,500,True,6,0,0.06689260906753329,0.07089019813067547,-0.011250665199296146,0.16666666666666666,0.40135565440519977
50,510,True,6,0,0.06740715317231404,0.02796255134502395,-0.004292764678565152,0.16666666666666666,0.40444291903388424
51,520,True,6,0,0.07083502091656048,6.244446204965759,0.6216483653620735,0.16666666666666666,0.4250101254993629
52,530,True,6,0,0.07101513336260114,6.157305339828866,-0.008714086513689257,0.16666666666666666,0.42609080017560685
53,540,True,6,0,0.07056841257968423,6.08355556642421,-0.007374977340465616,0.16666666666666666,0.4234104754781054
54,550,True,6,0,0.06720009998379306,6.018847685880903,-0.0064707880543307,0.16666666666666666,0.40320059990275836
55,560,True,6,0,0.06616467204249818,5.968863295621646,-0.004998439025925716,0.16666666666666666,0.3969880322549891
56,570,True,6,0,0.06557941944128237,5.887359093167665,-0.008150420245398138,0.16666666666666666,0.39347651664769423
57,580,True,6,0,0.06850970091401415,5.860794691095398,-0.0026564402072266624,0.16666666666666666,0.4110582054840849
58,590,True,6,0,0.06909172419367089,5.798211457659957,-0.006258323343544081,0.16666666666666666,0.4145503451620254
59,600,True,6,0,0.07269497831267854,5.753030411068333,-0.004518104659162425,0.16666666666666666,0.43616986987607126
60,610,True,6,0,0.07723798745843853,5.679796781177246,-0.007323362989108695,0.16666666666666666,0.4634279247506312
61,620,True,6,0,0.07862639959824597,5.616352421441835,-0.006344435973541085,0.16666666666666666,0.4717583975894758
62,630,True,6,0,0.0794424738118898,5.569438782488343,-0.004691363895349188,0.16666666666666666,0.47665484287133886
63,640,True,6,0,0.07918742158650545,5.535799715390837,-0.0033639067097506192,0.16666666666666666,0.4751245295190327
64,650,True,6,0,0.0798118378238125,5.497427973176466,-0.003837174221437145,0.16666666666666666,0.47887102694287503
65,660,True,6,0,0.08221908717134925,5.4915754764107385,-0.0005852496765727189,0.16666666666666666,0.49331452302809553
66,670,True,6,0,0.08789690922835526,5.465728040582226,-0.0025847435828512564,0.16666666666666666,0.5273814553701316
