
# CELL STATES

NB_STATES = 10
ST(0): GR <SOLID>
ST(1): GRJ <SOLID>
ST(2): GRV <SOLID>
ST(3): EAUC <FLUID>
ST(4): VEG <SOLID>
ST(5): BORD <SOLID>
ST(6): DUM <SOLID>
ST(7): IN <SOLID>
ST(8): OUT <SOLID>
ST(9): TUNNEL <SOLID>

              GR        GRJ        GRV       EAUC        VEG       BORD        DUM         IN        OUT     TUNNEL
0000:  000002400  000000000  001160388  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0001:  000028786  000003614  001130388  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0002:  000023630  000004017  001135141  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0003:  000026832  000004627  001131329  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0004:  000035114  000005726  001121948  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0005:  000041447  000005549  001115792  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0006:  000038269  000005620  001118899  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0007:  000044568  000006196  001112024  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0008:  000051874  000006841  001104073  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0009:  000057896  000007213  001097679  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0010:  000052609  000005096  001105083  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0011:  000044652  000005777  001112359  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0012:  000049772  000006535  001106481  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0013:  000052156  000007489  001103143  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0014:  000055033  000007308  001100447  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0015:  000057297  000005547  001099944  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0016:  000049398  000005501  001107889  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0017:  000050732  000006286  001105770  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0018:  000053259  000006286  001103243  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0019:  000058497  000006684  001097607  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0020:  000059295  000005326  001098167  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0021:  000045796  000006222  001110770  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0022:  000050998  000006125  001105665  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0023:  000049078  000005972  001107738  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0024:  000049840  000005598  001107350  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0025:  000054281  000005546  001102961  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0026:  000058392  000004787  001099609  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0027:  000056731  000004940  001101117  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0028:  000045804  000004189  001112795  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0029:  000037961  000004412  001120415  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0030:  000034248  000004386  001124154  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0031:  000039200  000005109  001118479  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0032:  000049872  000004857  001108059  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0033:  000061431  000005192  001096165  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0034:  000062050  000005635  001095103  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0035:  000061564  000005480  001095744  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0036:  000053694  000004713  001104381  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0037:  000040106  000004989  001117693  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0038:  000036486  000003933  001122369  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0039:  000038408  000004925  001119455  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0040:  000044949  000005158  001112681  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0041:  000055849  000005210  001101729  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0042:  000061508  000005275  001096005  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0043:  000063189  000005896  001093703  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0044:  000058948  000004947  001098893  003589212  000000000  000262928  000048000  000000000  000000000  000000000
0045:  000055497  000005196  001102095  003589212  000000000  000262928  000048000  000000000  000000000  000000000
