
# DOUBLETS

NB_TYPE_DOUBLET = 27
DB( 0): EAST_WEST, [EAUC, GRV] active
DB( 1): EAST_WEST, [EAUC, GRJ] 
DB( 2): VERTICAL, [EAUC, GRV] active
DB( 3): VERTICAL, [GRJ, EAUC] active
DB( 4): VERTICAL, [GR, DUM] active
DB( 5): VERTICAL, [GRV, DUM] 
DB( 6): VERTICAL, [GR, BORD] active
DB( 7): VERTICAL, [GRV, BORD] 
DB( 8): VERTICAL, [GR, GRV] active
DB( 9): VERTICAL, [GRV, GRV] 
DB(10): VERTICAL, [GR, GR] active
DB(11): VERTICAL, [GRV, GR] 
DB(12): EAST_WEST, [EAUC, GR] active
DB(13): VERTICAL, [EAUC, GR] active
DB(14): VERTICAL, [GR, EAUC] active
DB(15): VERTICAL, [EAUC, GRJ] active
DB(16): EAST_WEST, [GRJ, EAUC] active
DB(17): EAST_WEST, [GRJ, GR] active
DB(18): EAST_WEST, [GR, EAUC] active
DB(19): EAST_WEST, [GR, GR] 
DB(20): EAST_WEST, [GRJ, DUM] active
DB(21): EAST_WEST, [GR, DUM] 
DB(22): EAST_WEST, [GR, GRJ] active
DB(23): NORTH_SOUTH, [GR, EAUC] active
DB(24): NORTH_SOUTH, [EAUC, GR] active
DB(25): HORIZONTAL, [GR, EAUC] 
DB(26): HORIZONTAL, [EAUC, GR] 

# NUMBER OF ACTIVE DOUBLETS

          DB( 0)     DB( 2)     DB( 3)     DB( 4)     DB( 6)     DB( 8)     DB(10)     DB(12)     DB(13)     DB(14)     DB(15)     DB(16)     DB(17)     DB(18)     DB(20)     DB(22)     DB(23)     DB(24)
0000:          0          0          0       8000          0          0     232000          0       8000          0          0          0          0          0          0          0          0          0
0001:          0       2998        750          0          0       4988       1871       1518       4973         22        762        790         37       1448          0         21       1792       1767
