	mvt cells 	fluid nodes 	density 	trapped cells
0000: 	001073751 	000715796 	1.500080 	000000000
0001: 	001073540 	000717864 	1.423229 	000051855
0002: 	001076910 	000717851 	1.443440 	000040735
0003: 	001076367 	000717788 	1.444775 	000039325
0004: 	001076756 	000717849 	1.450600 	000035444
0005: 	001076259 	000717806 	1.463825 	000025517
0006: 	001076259 	000717830 	1.390899 	000077830
0007: 	001076438 	000717858 	1.400934 	000070766
0008: 	001077234 	000717774 	1.419142 	000058611
0009: 	001077059 	000717854 	1.435169 	000046817
0010: 	001077054 	000717814 	1.464110 	000026095
0011: 	001077054 	000717821 	1.384572 	000083179
0012: 	001076311 	000717798 	1.401260 	000070489
0013: 	001077696 	000717849 	1.422122 	000056827
0014: 	001076893 	000717725 	1.438435 	000044492
0015: 	001077794 	000717836 	1.469713 	000022781
0016: 	001077794 	000717833 	1.395326 	000076183
0017: 	001076547 	000717871 	1.411059 	000063589
0018: 	001076358 	000717852 	1.426052 	000052664
0019: 	001077550 	000717761 	1.441884 	000042622
0020: 	001077502 	000717827 	1.462322 	000027808
0021: 	001076741 	000717806 	1.490238 	000007039
0022: 	001076741 	000717844 	1.404921 	000068227
0023: 	001076193 	000717802 	1.417027 	000059048
0024: 	001076942 	000717808 	1.435729 	000046364
0025: 	001076321 	000717829 	1.441301 	000041713
0026: 	001076741 	000717892 	1.450369 	000035533
0027: 	001076384 	000717872 	1.462555 	000026457
0028: 	001077397 	000717864 	1.483699 	000012303
0029: 	001077397 	000717742 	1.408003 	000066814
0030: 	001077599 	000717840 	1.412837 	000063408
0031: 	001075975 	000717908 	1.414105 	000060778
0032: 	001076661 	000717844 	1.423419 	000054868
0033: 	001077079 	000717866 	1.430902 	000049883
0034: 	001076555 	000717804 	1.441513 	000041831
0035: 	001076841 	000717853 	1.452236 	000034349
0036: 	001076323 	000717775 	1.470641 	000020734
0037: 	001076887 	000717790 	1.489781 	000007537
0038: 	001076887 	000717868 	1.410539 	000064306
0039: 	001076275 	000717846 	1.410241 	000063939
0040: 	001076739 	000717795 	1.417196 	000059483
0041: 	001076752 	000717823 	1.427871 	000051793
0042: 	001075906 	000717816 	1.434379 	000046286
0043: 	001077268 	000717786 	1.444832 	000040188
0044: 	001077712 	000717770 	1.456591 	000032215
0045: 	001076921 	000717834 	1.468281 	000022939
