      	 mvt_in    	 mvt_out   	 ratio
0000: 	000777512 	000000000 	0.000000
0001: 	000000000 	000000000 	0.000000
0002: 	000000000 	000000000 	0.000000
0003: 	000000000 	000000000 	0.000000
0004: 	000000000 	000000000 	0.000000
0005: 	000000000 	000000000 	0.000000
0006: 	000000000 	000000000 	0.000000
0007: 	000000000 	000000000 	0.000000
0008: 	000000000 	000000000 	0.000000
0009: 	000000000 	000000000 	0.000000
0010: 	000000000 	000000000 	0.000000
0011: 	000000000 	000000000 	0.000000
0012: 	000000000 	000000000 	0.000000
0013: 	000000000 	000000000 	0.000000
0014: 	000000000 	000000000 	0.000000
0015: 	000000000 	000000000 	0.000000
0016: 	000000000 	000000000 	0.000000
0017: 	000000000 	000000000 	0.000000
0018: 	000000000 	000000000 	0.000000
0019: 	000000000 	000000000 	0.000000
0020: 	000000000 	000000000 	0.000000
0021: 	000000000 	000000000 	0.000000
0022: 	000000000 	000000000 	0.000000
0023: 	000000000 	000000000 	0.000000
0024: 	000000000 	000000000 	0.000000
0025: 	000000000 	000000000 	0.000000
0026: 	000000000 	000000000 	0.000000
0027: 	000000000 	000000000 	0.000000
0028: 	000000000 	000000000 	0.000000
0029: 	000000000 	000000000 	0.000000
0030: 	000000000 	000000000 	0.000000
0031: 	000000000 	000000000 	0.000000
0032: 	000000000 	000000000 	0.000000
0033: 	000000000 	000000000 	0.000000
0034: 	000000000 	000000000 	0.000000
0035: 	000000000 	000000000 	0.000000
0036: 	000000000 	000000000 	0.000000
0037: 	000000000 	000000000 	0.000000
0038: 	000000000 	000000000 	0.000000
0039: 	000000000 	000000000 	0.000000
0040: 	000000000 	000000000 	0.000000
0041: 	000000000 	000000000 	0.000000
0042: 	000000000 	000000000 	0.000000
0043: 	000000000 	000000000 	0.000000
0044: 	000000000 	000000000 	0.000000
0045: 	000000000 	000000000 	0.000000
0046: 	000000000 	000000000 	0.000000
0047: 	000000000 	000000000 	0.000000
0048: 	000000000 	000000000 	0.000000
0049: 	000000000 	000000000 	0.000000
0050: 	000000000 	000000000 	0.000000
0051: 	000000000 	000000000 	0.000000
0052: 	000000000 	000000000 	0.000000
0053: 	000000000 	000000000 	0.000000
0054: 	000000000 	000000000 	0.000000
0055: 	000000000 	000000000 	0.000000
0056: 	000000000 	000000000 	0.000000
0057: 	000000000 	000000000 	0.000000
0058: 	000000000 	000000000 	0.000000
0059: 	000000000 	000000000 	0.000000
0060: 	000000000 	000000000 	0.000000
0061: 	000000000 	000000000 	0.000000
0062: 	000000000 	000000000 	0.000000
0063: 	000000000 	000000000 	0.000000
0064: 	000000000 	000000000 	0.000000
0065: 	000000000 	000000000 	0.000000
0066: 	000000000 	000000000 	0.000000
0067: 	000000000 	000000000 	0.000000
0068: 	000000000 	000000000 	0.000000
0069: 	000000000 	000000000 	0.000000
0070: 	000000000 	000000000 	0.000000
0071: 	000000000 	000000000 	0.000000
0072: 	000000000 	000000000 	0.000000
0073: 	000000000 	000000000 	0.000000
0074: 	000000000 	000000000 	0.000000
0075: 	000000000 	000000000 	0.000000
0076: 	000000000 	000000000 	0.000000
