      nb trans.        delta trans.    time            delta time       lgca cyc.    real time      delta real time
0000: 0000000000000    000000000       0.000000e+00    0.000000e+00     000000000    0.000000e+00   0.000000e+00
0001: 0000101168810    101168810       1.529746e+02    1.529746e+02     000000303    2.715464e+05   2.715464e+05
0002: 0000200330410    099161600       3.272935e+02    1.743189e+02     000000325    5.809813e+05   3.094349e+05
0003: 0000299993077    099662667       5.011500e+02    1.738565e+02     000000324    8.895954e+05   3.086141e+05
0004: 0000398327815    098334738       6.658909e+02    1.647409e+02     000000314    1.182028e+06   2.924330e+05
0005: 0000494696652    096368837       8.291792e+02    1.632883e+02     000000314    1.471883e+06   2.898544e+05
0006: 0000596251303    101554651       9.884650e+02    1.592858e+02     000000159    1.754632e+06   2.827495e+05
0007: 0000702562740    106311437       1.146166e+03    1.577011e+02     000000308    2.034569e+06   2.799366e+05
0008: 0000808385859    105823119       1.301903e+03    1.557364e+02     000000305    2.311018e+06   2.764490e+05
0009: 0000913333908    104948049       1.462000e+03    1.600974e+02     000000311    2.595208e+06   2.841903e+05
0010: 0001017604503    104270595       1.627307e+03    1.653074e+02     000000315    2.888647e+06   2.934385e+05
0011: 0001126613851    109009348       1.795000e+03    1.676926e+02     000000168    3.186319e+06   2.976725e+05
0012: 0001231198194    104584343       1.953171e+03    1.581709e+02     000000308    3.467090e+06   2.807704e+05
0013: 0001336185541    104987347       2.109018e+03    1.558470e+02     000000306    3.743735e+06   2.766453e+05
0014: 0001440552588    104367047       2.266831e+03    1.578130e+02     000000307    4.023870e+06   2.801351e+05
0015: 0001544218895    103666307       2.423589e+03    1.567579e+02     000000307    4.302132e+06   2.782623e+05
0016: 0001652698643    108479748       2.583213e+03    1.596243e+02     000000160    4.585483e+06   2.833504e+05
0017: 0001756533964    103835321       2.741469e+03    1.582557e+02     000000308    4.866404e+06   2.809210e+05
0018: 0001859958170    103424206       2.902324e+03    1.608553e+02     000000311    5.151939e+06   2.855355e+05
0019: 0001962890895    102932725       3.066847e+03    1.645234e+02     000000314    5.443986e+06   2.920468e+05
0020: 0002066077109    103186214       3.232681e+03    1.658337e+02     000000316    5.738359e+06   2.943727e+05
0021: 0002173585413    107508304       3.400000e+03    1.673188e+02     000000168    6.035368e+06   2.970090e+05
0022: 0002277480340    103894927       3.558648e+03    1.586483e+02     000000308    6.316986e+06   2.816180e+05
0023: 0002380870754    103390414       3.720628e+03    1.619795e+02     000000312    6.604517e+06   2.875312e+05
0024: 0002483476786    102606032       3.893344e+03    1.727162e+02     000000323    6.911107e+06   3.065900e+05
0025: 0002585236146    101759360       4.066895e+03    1.735514e+02     000000323    7.219179e+06   3.080725e+05
0026: 0002686946756    101710610       4.245671e+03    1.787754e+02     000000329    7.536525e+06   3.173456e+05
0027: 0002788182103    101235347       4.428039e+03    1.823686e+02     000000333    7.860249e+06   3.237240e+05
0028: 0002890276772    102094669       4.606271e+03    1.782312e+02     000000328    8.176629e+06   3.163796e+05
0029: 0002995776791    105500019       4.793031e+03    1.867605e+02     000000187    8.508149e+06   3.315201e+05
0030: 0003097335815    101559024       4.969258e+03    1.762266e+02     000000326    8.820970e+06   3.128213e+05
0031: 0003199234947    101899132       5.142000e+03    1.727422e+02     000000323    9.127606e+06   3.066361e+05
0032: 0003301037947    101803000       5.309330e+03    1.673302e+02     000000317    9.424635e+06   2.970292e+05
0033: 0003402675197    101637250       5.480779e+03    1.714484e+02     000000321    9.728975e+06   3.043395e+05
0034: 0003503951559    101276362       5.658426e+03    1.776472e+02     000000328    1.004432e+07   3.153430e+05
0035: 0003605052498    101100939       5.839921e+03    1.814951e+02     000000331    1.036649e+07   3.221735e+05
0036: 0003706676388    101623890       6.018999e+03    1.790779e+02     000000329    1.068437e+07   3.178827e+05
0037: 0003808071706    101395318       6.200166e+03    1.811668e+02     000000332    1.100596e+07   3.215906e+05
0038: 0003913170517    105098811       6.385693e+03    1.855273e+02     000000185    1.133530e+07   3.293310e+05
0039: 0004015104254    101933737       6.554332e+03    1.686389e+02     000000319    1.163465e+07   2.993524e+05
0040: 0004117328365    102224111       6.722378e+03    1.680460e+02     000000318    1.193295e+07   2.982998e+05
0041: 0004218787558    101459193       6.894402e+03    1.720246e+02     000000322    1.223831e+07   3.053623e+05
0042: 0004319823789    101036231       7.073001e+03    1.785984e+02     000000329    1.255534e+07   3.170315e+05
0043: 0004422076661    102252872       7.253000e+03    1.799991e+02     000000330    1.287486e+07   3.195179e+05
0044: 0004525062724    102986063       7.438466e+03    1.854663e+02     000000335    1.320408e+07   3.292228e+05
0045: 0004626838831    101776107       7.622366e+03    1.839001e+02     000000334    1.353052e+07   3.264425e+05
