      	 maxvel 	 meanvel
0001: 	  1732  	  0523
0002: 	  1483  	  0540
0003: 	  1530  	  0543
0004: 	  1489  	  0543
0005: 	  1265  	  0532
0006: 	  1736  	  0531
0007: 	  1604  	  0529
0008: 	  1783  	  0532
0009: 	  1479  	  0527
0010: 	  1377  	  0513
0011: 	  1714  	  0522
0012: 	  2014  	  0518
0013: 	  1753  	  0526
0014: 	  1550  	  0516
0015: 	  1451  	  0494
0016: 	  1620  	  0509
0017: 	  1743  	  0510
0018: 	  1494  	  0507
0019: 	  1847  	  0502
0020: 	  1414  	  0491
0021: 	  1667  	  0508
0022: 	  1734  	  0506
0023: 	  1652  	  0506
0024: 	  1694  	  0495
0025: 	  1899  	  0476
0026: 	  1616  	  0454
0027: 	  1538  	  0452
0028: 	  1463  	  0468
0029: 	  1872  	  0501
0030: 	  1729  	  0510
0031: 	  1694  	  0507
0032: 	  2012  	  0486
0033: 	  1971  	  0470
0034: 	  1932  	  0450
0035: 	  1613  	  0450
0036: 	  1527  	  0455
0037: 	  1489  	  0468
0038: 	  1978  	  0501
0039: 	  1650  	  0508
0040: 	  1978  	  0505
0041: 	  1627  	  0479
0042: 	  1805  	  0466
0043: 	  1553  	  0454
0044: 	  1561  	  0448
0045: 	  1535  	  0457
